         18034643 function calls (18032453 primitive calls) in 20.787 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   157832    7.726    0.000   19.877    0.000 /Users/chrisge/Downloads/assignment1-basics/cs336_basics/tokenizer.py:93(encode)
   157832    3.695    0.000    3.695    0.000 {method 'findall' of '_regex.Pattern' objects}
  5572357    3.509    0.000    3.509    0.000 {method 'extend' of 'list' objects}
  5414314    2.283    0.000    4.724    0.000 /Users/chrisge/Downloads/assignment1-basics/cs336_basics/tokenizer.py:201(encode_word)
  5711095    2.071    0.000    2.071    0.000 {method 'get' of 'dict' objects}
        1    0.315    0.315   20.760   20.760 /Users/chrisge/Downloads/assignment1-basics/cs336_basics/tokenizer.py:259(tokenize_dataset)
   167583    0.238    0.000    0.238    0.000 {method 'split' of 'str' objects}
   327293    0.203    0.000    0.203    0.000 {method 'append' of 'list' objects}
    68374    0.188    0.000    0.355    0.000 /Users/chrisge/Downloads/assignment1-basics/cs336_basics/tokenizer.py:243(_replace_merged_bytes)
       83    0.109    0.001    0.109    0.001 {built-in method numpy.array}
320005/319976    0.094    0.000    0.094    0.000 {built-in method builtins.len}
        1    0.075    0.075    0.164    0.164 /Users/chrisge/Downloads/assignment1-basics/cs336_basics/tokenizer.py:70(from_files)
  190/189    0.046    0.000    0.047    0.000 {built-in method builtins.max}
    29486    0.022    0.000    0.022    0.000 {built-in method fromhex}
        1    0.021    0.021   20.787   20.787 /Users/chrisge/Downloads/assignment1-basics/cs336_basics/tokenizer.py:318(main)
    10085    0.013    0.000    0.013    0.000 {method 'strip' of 'str' objects}
      5/4    0.012    0.002    0.016    0.004 {built-in method _imp.create_dynamic}
       92    0.011    0.000    0.011    0.000 {built-in method marshal.loads}
        1    0.011    0.011    0.014    0.014 /Users/chrisge/Downloads/assignment1-basics/cs336_basics/tokenizer.py:9(__init__)
    13118    0.011    0.000    0.011    0.000 {method 'encode' of 'str' objects}
     2768    0.007    0.000    0.007    0.000 {built-in method _codecs.utf_8_decode}
        1    0.005    0.005    0.005    0.005 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/json/decoder.py:343(raw_decode)
        1    0.004    0.004    0.004    0.004 {built-in method _tracemalloc.stop}
      183    0.004    0.000    0.007    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/typing.py:262(_collect_parameters)
      348    0.004    0.000    0.004    0.000 {built-in method posix.stat}
       92    0.003    0.000    0.003    0.000 {built-in method _io.open_code}
       10    0.003    0.000    0.003    0.000 {built-in method builtins.eval}
     6070    0.003    0.000    0.004    0.000 {built-in method builtins.getattr}
  151/150    0.003    0.000    0.011    0.000 {built-in method builtins.__build_class__}
      119    0.003    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1590(find_spec)
      265    0.003    0.000    0.009    0.000 /Users/chrisge/Downloads/assignment1-basics/.venv/lib/python3.12/site-packages/numpy/_core/overrides.py:144(decorator)
     2768    0.003    0.000    0.010    0.000 <frozen codecs>:319(decode)
       10    0.002    0.000    0.006    0.001 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/collections/__init__.py:355(namedtuple)
        1    0.002    0.002    0.002    0.002 {method 'tofile' of 'numpy.ndarray' objects}
     1260    0.002    0.000    0.005    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/typing.py:1169(__setattr__)
      312    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap>:304(acquire)
      460    0.002    0.000    0.002    0.000 /Users/chrisge/Downloads/assignment1-basics/.venv/lib/python3.12/site-packages/numpy/_utils/_inspect.py:66(getargs)
     1552    0.002    0.000    0.004    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/typing.py:1117(_is_dunder)
    85/30    0.002    0.000    0.008    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/typing.py:1309(_make_substitution)
